# source_sha256	87f5c391b0fc722bdaa0fdca468f160bccf1becaa2f81cec052c481b7c98f195
# scope	m1n1 pcie_init_controller(APCIE, /arm-io/apcie0), T6040 controller/shared-PHY prefix
# semantics	WRITE replaces the full value; RMW is (old & ~mask) | value; SET is old | mask; CLEAR is old & ~mask
sequence	phase	source	address	size	operation	mask	value
49	controller	apcie-axi2af-tunables	0x0041600034c	4	RMW	0xffffffff	0x0000ffff
50	controller	apcie-axi2af-tunables	0x00416000408	4	RMW	0xffff0020	0x001f0020
51	controller	apcie-axi2af-tunables	0x0041600040c	4	RMW	0x000fffff	0x00001681
52	controller	apcie-axi2af-tunables	0x00416000410	4	RMW	0x000fffff	0x00001680
53	controller	apcie-axi2af-tunables	0x00416000414	4	RMW	0x70000fff	0x000001e0
54	controller	apcie-axi2af-tunables	0x00416000418	4	RMW	0x70000fff	0x000001e0
55	controller	apcie-axi2af-tunables	0x0041600041c	4	RMW	0x70000fff	0x000005a0
56	controller	apcie-axi2af-tunables	0x00416000420	4	RMW	0x70000fff	0x000005a0
57	controller	apcie-axi2af-tunables	0x00416000424	4	RMW	0x70000fff	0x000005a0
58	controller	apcie-axi2af-tunables	0x00416000428	4	RMW	0x70000fff	0x000005a0
59	controller	apcie-axi2af-tunables	0x0041600042c	4	RMW	0x70000fff	0x000005a0
60	controller	apcie-axi2af-tunables	0x00416000430	4	RMW	0x70000fff	0x000005a0
61	controller	apcie-axi2af-tunables	0x00416000434	4	RMW	0x70000fff	0x000005a0
62	controller	apcie-axi2af-tunables	0x00416000438	4	RMW	0x70000fff	0x000005a0
63	controller	apcie-axi2af-tunables	0x0041600043c	4	RMW	0x70000fff	0x000005a0
64	controller	apcie-axi2af-tunables	0x00416000440	4	RMW	0x70000fff	0x000005a0
65	controller	apcie-axi2af-tunables	0x00416000444	4	RMW	0x70000fff	0x000005a0
66	controller	apcie-axi2af-tunables	0x00416000948	4	RMW	0x07ff07ff	0x00200000
67	controller	apcie-axi2af-tunables	0x00416000a48	4	RMW	0x07ff07ff	0x000a0100
68	controller	apcie-axi2af-tunables	0x00416000b48	4	RMW	0x07ff07ff	0x00800080
69	controller	apcie-axi2af-tunables	0x00416000e00	4	RMW	0xffffffff	0x7fffffff
70	controller	apcie-axi2af-tunables	0x00416004008	4	RMW	0x00000001	0x00000001
71	controller	apcie-axi2af-tunables	0x0041600400c	4	RMW	0x00000001	0x00000001
72	controller	apcie-axi2af-tunables	0x00416004014	4	RMW	0x00000001	0x00000000
73	controller	apcie-axi2af-tunables	0x00416004018	4	RMW	0x00000001	0x00000000
74	controller	apcie-axi2af-tunables	0x0041600401c	4	RMW	0x00000001	0x00000001
75	controller	apcie-axi2af-tunables	0x004160010f8	4	RMW	0x00000001	0x00000001
76	controller	apcie-axi2af-tunables	0x004160011f8	4	RMW	0x00000001	0x00000001
77	controller	apcie-axi2af-tunables	0x004160012f8	4	RMW	0x00000001	0x00000001
78	controller	apcie-axi2af-tunables	0x004160013f8	4	RMW	0x00000001	0x00000001
79	controller	apcie-axi2af-tunables	0x004160014f8	4	RMW	0x00000001	0x00000001
80	controller	apcie-axi2af-tunables	0x004160010fc	4	RMW	0x00000001	0x00000001
81	controller	apcie-axi2af-tunables	0x004160011fc	4	RMW	0x00000001	0x00000001
82	controller	apcie-axi2af-tunables	0x004160012fc	4	RMW	0x00000001	0x00000001
83	controller	apcie-axi2af-tunables	0x004160013fc	4	RMW	0x00000001	0x00000001
84	controller	apcie-axi2af-tunables	0x004160014fc	4	RMW	0x00000001	0x00000001
85	controller	apcie-axi2af-tunables	0x00416020028	4	RMW	0x0000fe2f	0x00000000
86	controller	apcie-axi2af-tunables	0x0041602002c	4	RMW	0x00000007	0x00000000
87	controller	apcie-axi2af-tunables	0x00416020030	4	RMW	0x0000007f	0x00000000
88	controller	apcie-axi2af-tunables	0x00416020034	4	RMW	0x000000ff	0x00000000
89	controller	apcie-axi2af-tunables	0x00416020058	4	RMW	0x0000010b	0x00000000
90	controller	pcie.c:rc+0x4	0x00414000004	4	WRITE	0xffffffff	0x00000000
91	controller	apcie-cio3pllcore-tunables	0x00415046200	4	RMW	0x00000a0b	0x00000a01
92	controller	apcie-cio3pllcore-tunables	0x00415046224	4	RMW	0x00000c00	0x00000800
93	controller	apcie-cio3pllcore-tunables	0x00415046228	4	RMW	0x00000f00	0x00000b00
94	controller	apcie-cio3pllcore-tunables	0x00415046238	4	RMW	0x00000020	0x00000000
95	controller	apcie-cio3pllcore-tunables	0x0041504624c	4	RMW	0x000000ff	0x00000095
96	controller	apcie-cio3pllcore-tunables	0x004150462e8	4	RMW	0x000e0000	0x00020000
97	controller	apcie-cio3pllcore-tunables	0x00415046300	4	RMW	0x00ffffff	0x000b40b4
98	controller	apcie-pcieclkgen-tunables	0x00415044000	4	RMW	0x000003e0	0x00000220
99	pmgr	clock-gate:240:ANS	0x00502280370	4	RMW	0x1000030f	0x0000000f
100	pmgr	clock-gate:163:APCIE_ST0	0x00502280108	4	RMW	0x1000030f	0x0000000f
101	pmgr	clock-gate:242:APCIE_SYS_ST0	0x00502280380	4	RMW	0x1000030f	0x0000000f
102	pmgr	clock-gate:240:ANS	0x00502280370	4	RMW	0x1000030f	0x0000000f
103	pmgr	clock-gate:164:APCIE_ST1	0x00502280110	4	RMW	0x1000030f	0x0000000f
104	pmgr	clock-gate:243:APCIE_SYS_ST1	0x00502280388	4	RMW	0x1000030f	0x0000000f
105	pmgr	clock-gate:245:APCIE_PHY_SW	0x00502280398	4	RMW	0x1000030f	0x0000000f
106	controller	apcie-phy-tunables	0x00417008000	4	RMW	0x04000000	0x00000000
107	controller	apcie-phy-tunables	0x00417020000	4	RMW	0x10000000	0x00000000
108	controller	apcie-phy-tunables	0x00417024000	4	RMW	0x10000000	0x00000000
109	controller	apcie-phy-tunables	0x00417028000	4	RMW	0x10000000	0x00000000
110	controller	apcie-phy-tunables	0x0041702c000	4	RMW	0x10000000	0x00000000
111	phy	CLK0REQ	0x00417008000	4	SET	0x00000001	0x00000001
112	phy	CLK1REQ	0x00417008000	4	SET	0x00000002	0x00000002
113	phy	RESET	0x00417008000	4	CLEAR	0x00000080	0x00000000
114	phy	T8122 pre-tunable control	0x00417008004	4	SET	0x00000001	0x00000001
115	phy	apcie-phy-ip-pll-tunables	0x00417040090	4	RMW	0x00000001	0x00000001
116	phy	apcie-phy-ip-pll-tunables	0x004170400a4	4	RMW	0x00000001	0x00000001
117	phy	apcie-phy-ip-pll-tunables	0x00417041000	4	RMW	0x003f0000	0x00230000
118	phy	apcie-phy-ip-pll-tunables	0x0041704102c	4	RMW	0x03fffffc	0x00454444
119	phy	apcie-phy-ip-pll-tunables	0x00417041204	4	RMW	0x0000007c	0x00000044
120	phy	apcie-phy-ip-pll-tunables	0x0041704501c	4	RMW	0x00000004	0x00000000
121	phy	apcie-phy-ip-pll-tunables	0x00417045080	4	RMW	0x03c00000	0x01400000
122	phy	apcie-phy-ip-pll-tunables	0x00417045088	4	RMW	0x000f0000	0x00060000
123	phy	apcie-phy-ip-pll-tunables	0x0041704508c	4	RMW	0x03c00000	0x01400000
124	phy	apcie-phy-ip-pll-tunables	0x00417045094	4	RMW	0x000f0000	0x00060000
125	phy	apcie-phy-ip-pll-tunables	0x004170450a0	4	RMW	0x000f0000	0x00050000
126	phy	apcie-phy-ip-pll-tunables	0x004170450ac	4	RMW	0x000f0000	0x00050000
127	phy	apcie-phy-ip-pll-tunables	0x004170450b8	4	RMW	0x000f0000	0x00050000
128	phy	apcie-phy-ip-pll-tunables	0x00417045200	4	RMW	0x0000000a	0x0000000a
129	phy	apcie-phy-ip-pll-tunables	0x00417045224	4	RMW	0x00000c00	0x00000800
130	phy	apcie-phy-ip-pll-tunables	0x00417045230	4	RMW	0x0000001f	0x00000008
131	phy	apcie-phy-ip-pll-tunables	0x00417045240	4	RMW	0x07d8007f	0x04000049
132	phy	apcie-phy-ip-pll-tunables	0x004170452b0	4	RMW	0x08700000	0x00300000
133	phy	apcie-phy-ip-pll-tunables	0x004170452e8	4	RMW	0x00060000	0x00040000
134	phy	apcie-phy-ip-pll-tunables	0x00417045300	4	RMW	0x00ffffff	0x00078078
135	phy	apcie-phy-ip-pll-tunables	0x00417045320	4	RMW	0x00000006	0x00000002
136	phy	apcie-phy-ip-pll-tunables	0x0041704608c	4	RMW	0x03c3c000	0x01818000
137	phy	apcie-phy-ip-pll-tunables	0x00417046224	4	RMW	0x00000c00	0x00000800
138	phy	apcie-phy-ip-pll-tunables	0x00417046228	4	RMW	0x00000f00	0x00000b00
139	phy	apcie-phy-ip-pll-tunables	0x00417046230	4	RMW	0x0000001f	0x0000000f
140	phy	apcie-phy-ip-pll-tunables	0x0041704624c	4	RMW	0x0000007f	0x0000001d
141	phy	apcie-phy-ip-pll-tunables	0x004170462b0	4	RMW	0x00700000	0x00300000
142	phy	apcie-phy-ip-pll-tunables	0x004170462e8	4	RMW	0x00060000	0x00040000
143	phy	apcie-phy-ip-auspma-tunables	0x0041704a000	4	RMW	0x0000000f	0x0000000a
144	phy	apcie-phy-ip-auspma-tunables	0x0041704a008	4	RMW	0x0000000f	0x0000000a
145	phy	apcie-phy-ip-auspma-tunables	0x0041704a00c	4	RMW	0x0000000f	0x0000000a
146	phy	apcie-phy-ip-auspma-tunables	0x0041704a010	4	RMW	0x0000000f	0x0000000a
147	phy	apcie-phy-ip-auspma-tunables	0x0041704a014	4	RMW	0x0000000f	0x0000000a
148	phy	apcie-phy-ip-auspma-tunables	0x0041704a038	4	RMW	0x0000ffff	0x00000271
149	phy	apcie-phy-ip-auspma-tunables	0x0041704a040	4	RMW	0x00000800	0x00000000
150	phy	apcie-phy-ip-auspma-tunables	0x0041704a04c	4	RMW	0x00003fff	0x00000bff
151	phy	apcie-phy-ip-auspma-tunables	0x0041704a050	4	RMW	0x00000001	0x00000001
152	phy	apcie-phy-ip-auspma-tunables	0x0041704a068	4	RMW	0x00000007	0x00000001
153	phy	apcie-phy-ip-auspma-tunables	0x0041704a070	4	RMW	0xfff038e0	0x55b00820
154	phy	apcie-phy-ip-auspma-tunables	0x0041704a084	4	RMW	0xffffffff	0x3e8f4240
155	phy	apcie-phy-ip-auspma-tunables	0x0041704a088	4	RMW	0x00000fff	0x00000fff
156	phy	apcie-phy-ip-auspma-tunables	0x0041704a09c	4	RMW	0x0fc00000	0x05400000
157	phy	apcie-phy-ip-auspma-tunables	0x0041704a0b8	4	RMW	0xff03e000	0xaa03e000
158	phy	apcie-phy-ip-auspma-tunables	0x0041704a0bc	4	RMW	0x00060fff	0x00040faa
159	phy	apcie-phy-ip-auspma-tunables	0x0041704a0c0	4	RMW	0x3ff80000	0x14500000
160	phy	apcie-phy-ip-auspma-tunables	0x0041704a0c4	4	RMW	0x0000ffff	0x00007777
161	phy	apcie-phy-ip-auspma-tunables	0x0041704a0e0	4	RMW	0x18000000	0x08000000
162	phy	apcie-phy-ip-auspma-tunables	0x0041704a0e8	4	RMW	0x001ff000	0x00002000
163	phy	apcie-phy-ip-auspma-tunables	0x0041704a10c	4	RMW	0x3fffffff	0x000f4240
164	phy	apcie-phy-ip-auspma-tunables	0x0041704a11c	4	RMW	0x00040000	0x00040000
165	phy	apcie-phy-ip-auspma-tunables	0x0041704a178	4	RMW	0x03f00000	0x00300000
166	phy	apcie-phy-ip-auspma-tunables	0x0041704a1b4	4	RMW	0x0003ff00	0x00001500
167	phy	apcie-phy-ip-auspma-tunables	0x0041704a1bc	4	RMW	0x0003ff00	0x00001500
168	phy	apcie-phy-ip-auspma-tunables	0x0041704a1c4	4	RMW	0x00000001	0x00000001
169	phy	apcie-phy-ip-auspma-tunables	0x0041704a1cc	4	RMW	0x00000001	0x00000001
170	phy	apcie-phy-ip-auspma-tunables	0x0041704a1e8	4	RMW	0x0000000f	0x00000000
171	phy	apcie-phy-ip-auspma-tunables	0x0041704a1b0	4	RMW	0xffffffff	0x00098924
172	phy	apcie-phy-ip-auspma-tunables	0x0041704a1b8	4	RMW	0xffffffff	0x00098924
173	phy	apcie-phy-ip-auspma-tunables	0x00417052000	4	RMW	0x0000000f	0x0000000a
174	phy	apcie-phy-ip-auspma-tunables	0x00417052008	4	RMW	0x0000000f	0x0000000a
175	phy	apcie-phy-ip-auspma-tunables	0x0041705200c	4	RMW	0x0000000f	0x0000000a
176	phy	apcie-phy-ip-auspma-tunables	0x00417052010	4	RMW	0x0000000f	0x0000000a
177	phy	apcie-phy-ip-auspma-tunables	0x00417052014	4	RMW	0x0000000f	0x0000000a
178	phy	apcie-phy-ip-auspma-tunables	0x00417052038	4	RMW	0x0000ffff	0x00000271
179	phy	apcie-phy-ip-auspma-tunables	0x00417052040	4	RMW	0x00000800	0x00000000
180	phy	apcie-phy-ip-auspma-tunables	0x0041705204c	4	RMW	0x00003fff	0x00000bff
181	phy	apcie-phy-ip-auspma-tunables	0x00417052050	4	RMW	0x00000001	0x00000001
182	phy	apcie-phy-ip-auspma-tunables	0x00417052068	4	RMW	0x00000007	0x00000001
183	phy	apcie-phy-ip-auspma-tunables	0x00417052070	4	RMW	0xfff038e0	0x55b00820
184	phy	apcie-phy-ip-auspma-tunables	0x00417052084	4	RMW	0xffffffff	0x3e8f4240
185	phy	apcie-phy-ip-auspma-tunables	0x00417052088	4	RMW	0x00000fff	0x00000fff
186	phy	apcie-phy-ip-auspma-tunables	0x0041705209c	4	RMW	0x0fc00000	0x05400000
187	phy	apcie-phy-ip-auspma-tunables	0x004170520b8	4	RMW	0xff03e000	0xaa03e000
188	phy	apcie-phy-ip-auspma-tunables	0x004170520bc	4	RMW	0x00060fff	0x00040faa
189	phy	apcie-phy-ip-auspma-tunables	0x004170520c0	4	RMW	0x3ff80000	0x14500000
190	phy	apcie-phy-ip-auspma-tunables	0x004170520c4	4	RMW	0x0000ffff	0x00007777
191	phy	apcie-phy-ip-auspma-tunables	0x004170520e0	4	RMW	0x18000000	0x08000000
192	phy	apcie-phy-ip-auspma-tunables	0x004170520e8	4	RMW	0x001ff000	0x00002000
193	phy	apcie-phy-ip-auspma-tunables	0x0041705210c	4	RMW	0x3fffffff	0x000f4240
194	phy	apcie-phy-ip-auspma-tunables	0x0041705211c	4	RMW	0x00040000	0x00040000
195	phy	apcie-phy-ip-auspma-tunables	0x00417052178	4	RMW	0x03f00000	0x00300000
196	phy	apcie-phy-ip-auspma-tunables	0x004170521b4	4	RMW	0x0003ff00	0x00001500
197	phy	apcie-phy-ip-auspma-tunables	0x004170521bc	4	RMW	0x0003ff00	0x00001500
198	phy	apcie-phy-ip-auspma-tunables	0x004170521c4	4	RMW	0x00000001	0x00000001
199	phy	apcie-phy-ip-auspma-tunables	0x004170521cc	4	RMW	0x00000001	0x00000001
200	phy	apcie-phy-ip-auspma-tunables	0x004170521e8	4	RMW	0x0000000f	0x00000000
201	phy	apcie-phy-ip-auspma-tunables	0x004170521b0	4	RMW	0xffffffff	0x00098924
202	phy	apcie-phy-ip-auspma-tunables	0x004170521b8	4	RMW	0xffffffff	0x00098924
203	phy	apcie-phy-ip-auspma-tunables	0x0041705a000	4	RMW	0x0000000f	0x0000000a
204	phy	apcie-phy-ip-auspma-tunables	0x0041705a008	4	RMW	0x0000000f	0x0000000a
205	phy	apcie-phy-ip-auspma-tunables	0x0041705a00c	4	RMW	0x0000000f	0x0000000a
206	phy	apcie-phy-ip-auspma-tunables	0x0041705a010	4	RMW	0x0000000f	0x0000000a
207	phy	apcie-phy-ip-auspma-tunables	0x0041705a014	4	RMW	0x0000000f	0x0000000a
208	phy	apcie-phy-ip-auspma-tunables	0x0041705a038	4	RMW	0x0000ffff	0x00000271
209	phy	apcie-phy-ip-auspma-tunables	0x0041705a040	4	RMW	0x00000800	0x00000000
210	phy	apcie-phy-ip-auspma-tunables	0x0041705a04c	4	RMW	0x00003fff	0x00000bff
211	phy	apcie-phy-ip-auspma-tunables	0x0041705a050	4	RMW	0x00000001	0x00000001
212	phy	apcie-phy-ip-auspma-tunables	0x0041705a068	4	RMW	0x00000007	0x00000001
213	phy	apcie-phy-ip-auspma-tunables	0x0041705a070	4	RMW	0xfff038e0	0x55b00820
214	phy	apcie-phy-ip-auspma-tunables	0x0041705a084	4	RMW	0xffffffff	0x3e8f4240
215	phy	apcie-phy-ip-auspma-tunables	0x0041705a088	4	RMW	0x00000fff	0x00000fff
216	phy	apcie-phy-ip-auspma-tunables	0x0041705a09c	4	RMW	0x0fc00000	0x05400000
217	phy	apcie-phy-ip-auspma-tunables	0x0041705a0b8	4	RMW	0xff03e000	0xaa03e000
218	phy	apcie-phy-ip-auspma-tunables	0x0041705a0bc	4	RMW	0x00060fff	0x00040faa
219	phy	apcie-phy-ip-auspma-tunables	0x0041705a0c0	4	RMW	0x3ff80000	0x14500000
220	phy	apcie-phy-ip-auspma-tunables	0x0041705a0c4	4	RMW	0x0000ffff	0x00007777
221	phy	apcie-phy-ip-auspma-tunables	0x0041705a0e0	4	RMW	0x18000000	0x08000000
222	phy	apcie-phy-ip-auspma-tunables	0x0041705a0e8	4	RMW	0x001ff000	0x00002000
223	phy	apcie-phy-ip-auspma-tunables	0x0041705a10c	4	RMW	0x3fffffff	0x000f4240
224	phy	apcie-phy-ip-auspma-tunables	0x0041705a11c	4	RMW	0x00040000	0x00040000
225	phy	apcie-phy-ip-auspma-tunables	0x0041705a178	4	RMW	0x03f00000	0x00300000
226	phy	apcie-phy-ip-auspma-tunables	0x0041705a1b4	4	RMW	0x0003ff00	0x00001500
227	phy	apcie-phy-ip-auspma-tunables	0x0041705a1bc	4	RMW	0x0003ff00	0x00001500
228	phy	apcie-phy-ip-auspma-tunables	0x0041705a1c4	4	RMW	0x00000001	0x00000001
229	phy	apcie-phy-ip-auspma-tunables	0x0041705a1cc	4	RMW	0x00000001	0x00000001
230	phy	apcie-phy-ip-auspma-tunables	0x0041705a1e8	4	RMW	0x0000000f	0x00000000
231	phy	apcie-phy-ip-auspma-tunables	0x0041705a1b0	4	RMW	0xffffffff	0x00098924
232	phy	apcie-phy-ip-auspma-tunables	0x0041705a1b8	4	RMW	0xffffffff	0x00098924
233	phy	apcie-phy-ip-auspma-tunables	0x00417062000	4	RMW	0x0000000f	0x0000000a
234	phy	apcie-phy-ip-auspma-tunables	0x00417062008	4	RMW	0x0000000f	0x0000000a
235	phy	apcie-phy-ip-auspma-tunables	0x0041706200c	4	RMW	0x0000000f	0x0000000a
236	phy	apcie-phy-ip-auspma-tunables	0x00417062010	4	RMW	0x0000000f	0x0000000a
237	phy	apcie-phy-ip-auspma-tunables	0x00417062014	4	RMW	0x0000000f	0x0000000a
238	phy	apcie-phy-ip-auspma-tunables	0x00417062038	4	RMW	0x0000ffff	0x00000271
239	phy	apcie-phy-ip-auspma-tunables	0x00417062040	4	RMW	0x00000800	0x00000000
240	phy	apcie-phy-ip-auspma-tunables	0x0041706204c	4	RMW	0x00003fff	0x00000bff
241	phy	apcie-phy-ip-auspma-tunables	0x00417062050	4	RMW	0x00000001	0x00000001
242	phy	apcie-phy-ip-auspma-tunables	0x00417062068	4	RMW	0x00000007	0x00000001
243	phy	apcie-phy-ip-auspma-tunables	0x00417062070	4	RMW	0xfff038e0	0x55b00820
244	phy	apcie-phy-ip-auspma-tunables	0x00417062084	4	RMW	0xffffffff	0x3e8f4240
245	phy	apcie-phy-ip-auspma-tunables	0x00417062088	4	RMW	0x00000fff	0x00000fff
246	phy	apcie-phy-ip-auspma-tunables	0x0041706209c	4	RMW	0x0fc00000	0x05400000
247	phy	apcie-phy-ip-auspma-tunables	0x004170620b8	4	RMW	0xff03e000	0xaa03e000
248	phy	apcie-phy-ip-auspma-tunables	0x004170620bc	4	RMW	0x00060fff	0x00040faa
249	phy	apcie-phy-ip-auspma-tunables	0x004170620c0	4	RMW	0x3ff80000	0x14500000
250	phy	apcie-phy-ip-auspma-tunables	0x004170620c4	4	RMW	0x0000ffff	0x00007777
251	phy	apcie-phy-ip-auspma-tunables	0x004170620e0	4	RMW	0x18000000	0x08000000
252	phy	apcie-phy-ip-auspma-tunables	0x004170620e8	4	RMW	0x001ff000	0x00002000
253	phy	apcie-phy-ip-auspma-tunables	0x0041706210c	4	RMW	0x3fffffff	0x000f4240
254	phy	apcie-phy-ip-auspma-tunables	0x0041706211c	4	RMW	0x00040000	0x00040000
255	phy	apcie-phy-ip-auspma-tunables	0x00417062178	4	RMW	0x03f00000	0x00300000
256	phy	apcie-phy-ip-auspma-tunables	0x004170621b4	4	RMW	0x0003ff00	0x00001500
257	phy	apcie-phy-ip-auspma-tunables	0x004170621bc	4	RMW	0x0003ff00	0x00001500
258	phy	apcie-phy-ip-auspma-tunables	0x004170621c4	4	RMW	0x00000001	0x00000001
259	phy	apcie-phy-ip-auspma-tunables	0x004170621cc	4	RMW	0x00000001	0x00000001
260	phy	apcie-phy-ip-auspma-tunables	0x004170621e8	4	RMW	0x0000000f	0x00000000
261	phy	apcie-phy-ip-auspma-tunables	0x004170621b0	4	RMW	0xffffffff	0x00098924
262	phy	apcie-phy-ip-auspma-tunables	0x004170621b8	4	RMW	0xffffffff	0x00098924
263	phy	apcie-phy-ip-auspma-tunables	0x0041704b02c	4	RMW	0x00100000	0x00100000
264	phy	apcie-phy-ip-auspma-tunables	0x0041704b058	4	RMW	0x00000018	0x00000018
265	phy	apcie-phy-ip-auspma-tunables	0x0041704b070	4	RMW	0x00000030	0x00000020
266	phy	apcie-phy-ip-auspma-tunables	0x0041704b078	4	RMW	0x3c000000	0x2c000000
267	phy	apcie-phy-ip-auspma-tunables	0x0041705302c	4	RMW	0x00100000	0x00100000
268	phy	apcie-phy-ip-auspma-tunables	0x00417053058	4	RMW	0x00000018	0x00000018
269	phy	apcie-phy-ip-auspma-tunables	0x00417053070	4	RMW	0x00000030	0x00000020
270	phy	apcie-phy-ip-auspma-tunables	0x00417053078	4	RMW	0x3c000000	0x2c000000
271	phy	apcie-phy-ip-auspma-tunables	0x0041705b02c	4	RMW	0x00100000	0x00100000
272	phy	apcie-phy-ip-auspma-tunables	0x0041705b058	4	RMW	0x00000018	0x00000018
273	phy	apcie-phy-ip-auspma-tunables	0x0041705b070	4	RMW	0x00000030	0x00000020
274	phy	apcie-phy-ip-auspma-tunables	0x0041705b078	4	RMW	0x3c000000	0x2c000000
275	phy	apcie-phy-ip-auspma-tunables	0x0041706302c	4	RMW	0x00100000	0x00100000
276	phy	apcie-phy-ip-auspma-tunables	0x00417063058	4	RMW	0x00000018	0x00000018
277	phy	apcie-phy-ip-auspma-tunables	0x00417063070	4	RMW	0x00000030	0x00000020
278	phy	apcie-phy-ip-auspma-tunables	0x00417063078	4	RMW	0x3c000000	0x2c000000
279	phy	apcie-phy-ip-auspma-tunables	0x00417049000	4	RMW	0x40000000	0x00000000
280	phy	apcie-phy-ip-auspma-tunables	0x00417049008	4	RMW	0x00000010	0x00000000
281	phy	apcie-phy-ip-auspma-tunables	0x0041704903c	4	RMW	0x01800000	0x01800000
